datetime,Temperature,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
2020-03-01 16,22.0,0.0,14.8,10.0,26.9,46.06,2.0
2020-03-01 17,21.0,0.0,27.7,10.0,50.0,43.23,2.0
2020-03-01 18,20.0,0.0,18.5,10.0,36.1,52.62,2.0
2020-03-01 19,18.0,0.0,22.2,10.0,35.6,63.6,2.0
2020-03-01 20,18.0,0.0,16.6,10.0,36.1,63.72,2.0
2020-03-01 21,18.0,0.0,13.0,10.0,27.3,63.72,2.0
2020-03-01 22,17.0,0.0,11.1,10.0,26.9,72.53,2.0
2020-03-01 23,16.0,0.0,3.7,10.0,27.3,77.18,2.0
2020-03-02 00,17.0,0.0,0.1,10.0,36.1,67.84,2.0
2020-03-02 03,15.0,0.0,12.9,10.0,27.3,77.05,2.0
2020-03-02 04,15.0,0.0,12.9,10.0,26.9,72.16,2.0
2020-03-02 05,13.0,0.0,9.3,10.0,27.2,82.04,2.0
2020-03-02 06,13.0,0.0,5.4,10.0,27.2,76.77,2.0
2020-03-02 07,13.0,0.0,7.5,10.0,0.0,76.87,0.0
2020-03-02 08,15.0,0.0,7.5,10.0,0.4,72.14,0.0
2020-03-02 09,17.0,0.0,12.9,10.0,0.0,59.39,0.0
2020-03-02 10,20.0,0.0,13.1,10.0,0.8,56.0,0.0
2020-03-02 11,22.0,0.0,22.3,10.0,0.0,43.43,0.0
2020-03-02 12,25.0,0.0,25.9,10.0,0.0,36.2,0.0
2020-03-02 13,26.0,0.0,25.9,10.0,1.6,29.94,0.0
2020-03-02 14,25.0,0.0,27.7,10.0,0.0,31.62,0.0
2020-03-02 15,26.0,0.0,24.1,10.0,27.2,24.26,2.0
2020-03-02 16,25.0,0.0,24.0,10.0,50.0,27.65,2.0
2020-03-02 17,23.0,0.0,33.4,10.0,50.0,38.27,2.0
2020-03-02 18,18.0,0.0,25.8,8.0,50.0,68.0,2.0
2020-03-02 19,17.0,1.0,13.0,8.0,36.3,72.62,5.0
2020-03-02 20,18.0,0.0,24.0,8.0,36.1,67.97,2.0
2020-03-02 21,17.0,0.0,18.3,8.0,36.1,72.43,2.0
2020-03-02 22,17.0,0.0,16.5,8.0,35.6,67.84,2.0
2020-03-02 23,16.0,0.0,20.6,8.0,36.1,72.21,2.0
